NR;Geschlecht;Alter;Nielsen;Bundesland;Arbeitsstatus;Kinder im Haushalt (<18);Haushaltsgröße;Haushaltsnettoeinkommen;Familienstand;Berufs- / Akademische Bildung;Schulbildung;Stadt;Urban (>100k Einw.);PLZ;Land;Platform;"1. <p>Was beschreibt deine aktuelle Wohnsituation am besten?&nbsp;</p>";"2. <p>Wie viele Kinder hast du?&nbsp;</p>";3. <p>Wie alt ist dein (ältestes) Kind?</p>;4. <p>Wie alt ist dein zweitältestes Kind?</p>;5. <p>Wie alt ist dein drittältestes Kind?</p>;6. <p>Wie alt ist dein viertältestes Kind?</p>;"7. <p>Wenn du spontan an eine Marke denkst, die für deine Familie/in deiner Familie gerade eine Rolle spielt. Welche ist es?&nbsp;</p><p><br></p>";8. <p>Auf welche Spielzeugmarke können deine Kinder gerade nicht verzichten? </p>;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Alles in allem bin ich zufrieden mit meinem Familienleben;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Ich fühle mich (im Familienalltag) extrem belastet;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Die Klimakrise belastet mich und unser Familienleben;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Die Inflation belastet mich und unser Familienleben;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Ich fühle mich (im Familienalltag) häufig einsam;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Beruf;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Kind/er;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Geld/Finanzen;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:(Schwieger)Eltern;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Gesundheitliche Probleme;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Vorsorge bzw. Rente;11. <p>In welchem Bereich fühlst du dich mit deiner Familie am meisten unter Druck gesetzt?</p>;12. <p>Wie viel Zeit kannst du dir im Alltag pro Tag für dich selbst (Me-Time) nehmen?</p>;13. <p>Wie verbringst du diese Zeit (Me-Time) überwiegend? </p>;14. <p>Wie kommen du und deine Familie derzeit mit eurem Haushaltsnettoeinkommen zurecht? </p>;15. <p>Hattest du/hatte deine Familie in den letzten zwei Monaten externe Unterstützung im Familienalltag (nicht von den direkten Familienmitgliedern aber z.B. von einem Babysitter)?</p>;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Nachbarn;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Freunde;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Kolleg:innen;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Offizielle Einrichtungen;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Babysitter;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Au-pair/Nanny;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:freetext;17. <p>Wenn du für 2023 eine Familienurlaub/Reise planst, wohin soll es als nächstes gehen? </p>;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit dem Auto;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit einem Wohnmobil/wagen;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit dem Flugzeug;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit der Bahn;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit dem (Reise)Bus;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit einem Kreuzfahrtschiff;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit der Fähre;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:freetext;19. <p>Haben „Verschwörungstheorien“ (z.B. die Erde wäre flach, Impfungen würden einhergehen mit der Einpflanzung von Chips zur Gedankenkontrolle o.ä.) Einfluss auf deine Familie?</p>;20. <p>Gibt es jemanden in deiner Familie oder familiären Umgebung, der dir Unbehagen oder Angst bereitet?</p>;21. <p>Benötigst du Hilfe?</p>;22. Du siehst nun ein paar Begriffe. Bitte wähle die korrekte Antwort. Welcher der folgenden Begriffe passt nicht zu den anderen? Achtung: Kontrollfrage!
30;m;23;1;Hamburg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;4000€ bis 5000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Hamburg;1;22081;DEU;Android;Mit Partner*in;1;11 bis 18 Jahre;-;-;-;nike;lego;5;5;3;4;3;4;3;4;5;3;5;Anforderungen von Schule / Kita;30 bis 60 Minuten;Am Handy;Gut;Ja;0;1;0;0;0;0;0;Südeuropa (Italien, Portugal, Spanien etc.);1;0;1;0;0;0;0;0;Haben einen starken Einfluss;Nein;-;Pudding
31;f;39;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Braunschweig;1;38118;DEU;Android;Mit Partner*in & Kind(ern);3;11 bis 18 Jahre;7 bis 10 Jahre;4 bis 6 Jahre;-;Netflix;Hasbro;5;3;4;3;3;6;6;6;6;6;6;Politik, die Familien nicht genug berücksichtigt;> 2 Stunden;Organisation von Alltagsthemen;Gut;Nein;-;-;-;-;-;-;-;Nord-Amerika;0;0;1;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
32;f;46;3a;Hessen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Hauptschulabschluss;Voehl;0;34516;DEU;iOS;Mit Partner*in & Kind(ern);3;Über 18;11 bis 18 Jahre;11 bis 18 Jahre;-;VW;Lego;6;5;6;6;5;6;6;6;5;6;5;Gesellschaft, die Familien nicht genug unterstützt;1 bis 2 Stunden;Sport;Gut;Ja;0;0;0;1;0;0;0;Deutschland;0;0;1;0;0;0;1;0;Haben überhaupt keinen Einfluss;Ja;-;Pudding
33;f;19;6;Sachsen-Anhalt;Sonstige;Min. ein Kind (<18) im Haushalt;3 Personen;<1000€;Single / Ledig;(Noch) kein Abschluss;Hauptschulabschluss;Sichau;0;39649;DEU;iOS;Mit Partner*in;1;1 bis 3 Jahre;-;-;-;Puma;Toys;5;5;5;5;5;5;6;5;5;5;6;Vereinbarkeit Familie & Beruf;1 bis 2 Stunden;Am Handy;Nicht gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);1;0;0;1;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
34;m;36;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Abitur / Fachabitur;Kempen;0;47906;DEU;Android;Mit Partner*in & Kind(ern);2;7 bis 10 Jahre;1 bis 3 Jahre;-;-;Playstation;playstation;3;4;4;3;3;1;1;2;1;1;3;Anforderungen von Schule / Kita;Ich weiß es nicht;Organisation von Alltagsthemen;Ich weiß es nicht;Weiß nicht;-;-;-;-;-;-;-;Deutschland;0;0;0;0;1;0;0;0;Haben einen starken Einfluss;Nein;-;Pudding
35;m;45;1;Schleswig-Holstein;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;>5000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Wahlstedt;0;23812;DEU;iOS;Mit Partner*in & Kind(ern);1;4 bis 6 Jahre;-;-;-;Ikea;Playmobil;4;4;3;4;3;2;5;2;1;4;2;Vereinbarkeit Familie & Beruf;30 bis 60 Minuten;Organisation von Alltagsthemen;Gut;Ja;0;0;0;0;1;0;0;Südeuropa (Italien, Portugal, Spanien etc.);1;0;0;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
36;f;44;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Hauptschulabschluss;Untermeitingen;0;86836;DEU;Android;Mit Partner*in & Kind(ern);2;Über 18;11 bis 18 Jahre;-;-;Weiß ich nicht;Weiß ich nicht;6;2;1;1;1;1;3;3;1;3;3;Ich fühle mich nicht unter Druck gesetzt;30 bis 60 Minuten;Im Bad;Sehr gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
37;m;46;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Hannover;1;30419;DEU;Android;Mit Partner*in & Kind(ern);3;11 bis 18 Jahre;11 bis 18 Jahre;7 bis 10 Jahre;-;ergobag;Siku;6;3;2;3;1;1;3;4;1;2;3;Vereinbarkeit Familie & Beruf;30 bis 60 Minuten;Meditation;Nicht gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;1;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
38;m;41;7;Sachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Dresden;0;1099;DEU;iOS;Mit Partner*in & Kind(ern);4;11 bis 18 Jahre;7 bis 10 Jahre;7 bis 10 Jahre;1 bis 3 Jahre;Lego,Milka,Microsoft,Marvel;Lego;6;4;1;6;1;4;5;6;1;1;6;Politik, die Familien nicht genug berücksichtigt;30 bis 60 Minuten;Organisation von Alltagsthemen;Gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);0;0;1;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
39;m;36;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Geseke;0;59590;DEU;Android;Mit Partner*in & Kind(ern);1;11 bis 18 Jahre;-;-;-;Amazon;Nintendo Wii;3;3;4;4;4;2;4;4;3;2;4;Vereinbarkeit Familie & Beruf;30 bis 60 Minuten;Organisation von Alltagsthemen;Sehr gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben eher einen Einfluss;Ja;-;Pudding
40;m;52;7;Sachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbildung;Hauptschulabschluss;Freiberg, Sachsen;0;9599;DEU;Android;Mit Partner*in & Kind(ern);1;11 bis 18 Jahre;-;-;-;Keine;Lego;5;4;4;4;4;4;4;3;2;2;4;Politik, die Familien nicht genug berücksichtigt;5 bis 30 Minuten;Aufräumen;Gut;Nein;-;-;-;-;-;-;-;Deutschland;0;0;0;0;0;1;0;0;Haben eher keinen Einfluss;Nein;-;Pudding
41;f;23;3b;Baden-Wuerttemberg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Abitur / Fachabitur;Rottenburg am Neckar;0;72108;DEU;Android;Mit Partner*in & Kind(ern);1;1 bis 3 Jahre;-;-;-;Pampers;lego duplo;4;4;4;6;3;2;3;5;2;3;4;Vereinbarkeit Familie & Beruf;5 bis 30 Minuten;Am Handy;Nicht gut;Ja;0;0;0;0;0;1;0;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben überhaupt keinen Einfluss;Nein;-;Pudding
42;f;53;5;Berlin;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Berlin;1;12307;DEU;iOS;Mit Partner*in & Kind(ern);3;Über 18;11 bis 18 Jahre;11 bis 18 Jahre;-;Nike;gibt keine;4;5;3;4;3;3;4;5;3;4;4;Ich fühle mich nicht unter Druck gesetzt;5 bis 30 Minuten;Organisation von Alltagsthemen;Nicht gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
43;f;33;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Guetersloh;0;33332;DEU;iOS;Mit Partner*in & Kind(ern);1;4 bis 6 Jahre;-;-;-;Lego,Apple,Tonie,VW;Lego,Tonie;5;4;4;4;3;5;4;5;4;5;5;Vereinbarkeit Familie & Beruf;30 bis 60 Minuten;Organisation von Alltagsthemen;Gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);1;0;0;0;0;0;0;0;Haben eher einen Einfluss;Ja;-;Pudding
44;f;39;7;Sachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Gornsdorf;0;9390;DEU;iOS;Mit Kind(ern);1;11 bis 18 Jahre;-;-;-;nintendo;nintendo;2;4;6;6;4;5;5;5;1;5;5;Gesellschaft, die Familien nicht genug unterstützt;< 5 Minuten;Sport;Überhaupt nicht gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
45;m;60;5;Berlin;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Hauptschulabschluss;Berlin;1;13053;DEU;Android;Mit Partner*in;1;Über 18;-;-;-;keine;Toys;4;5;6;6;6;6;4;6;3;6;6;Vereinbarkeit Familie & Beruf;Ich weiß es nicht;Aufräumen;Überhaupt nicht gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Ja;-;Pudding
46;m;39;6;Sachsen-Anhalt;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Halle (Saale);1;6130;DEU;Android;Mit Partner*in & Kind(ern);1;11 bis 18 Jahre;-;-;-;keine;Playstation;4;4;4;4;4;4;4;4;4;4;4;Politik, die Familien nicht genug berücksichtigt;1 bis 2 Stunden;Organisation von Alltagsthemen;Gut;Nein;-;-;-;-;-;-;-;Westeuropa (Belgien, Frankreich, Österreich etc.);1;0;0;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
47;m;37;6;Sachsen-Anhalt;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Halle (Saale);1;6120;DEU;Android;Mit Partner*in & Kind(ern);1;Unter 1 Jahr;-;-;-;hipp;tonnie;5;5;4;5;3;5;4;3;6;4;5;Vereinbarkeit Familie & Beruf;30 bis 60 Minuten;Am Handy;Sehr gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
48;f;56;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Kirchbrak;0;37619;DEU;Android;Mit Partner*in;2;Über 18;Über 18;-;-;Nike;Nintendo;6;2;4;6;2;5;5;6;4;5;6;Ich fühle mich nicht unter Druck gesetzt;> 2 Stunden;Aufräumen;Gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);0;0;1;0;0;0;0;0;Haben eher einen Einfluss;Nein;-;Pudding
49;m;47;5;Berlin;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Berlin;1;13086;DEU;Android;Mit Partner*in & Kind(ern);1;4 bis 6 Jahre;-;-;-;Amazon;Lego;6;1;1;3;1;1;2;4;1;3;4;Vereinbarkeit Familie & Beruf;1 bis 2 Stunden;Sport;Gut;Nein;-;-;-;-;-;-;-;Osteuropa (Russland, Bulgarien etc.);1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
50;m;38;5;Berlin;in Rente;Min. ein Kind (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbildung;Hauptschulabschluss;Berlin;1;10178;DEU;Android;Mit Partner*in & Kind(ern);2;4 bis 6 Jahre;1 bis 3 Jahre;-;-;Samsung;beko;4;5;5;4;5;5;5;5;5;5;4;Vereinbarkeit Familie & Beruf;30 bis 60 Minuten;Lesen;Nicht gut;Nein;-;-;-;-;-;-;-;Osteuropa (Russland, Bulgarien etc.);1;0;0;0;0;0;0;0;Haben eher keinen Einfluss;Nein;-;Pudding
51;m;53;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;In einer Beziehung;Lehre / Ausbildung;Hauptschulabschluss;Scheessel;0;27383;DEU;Android;Mit Partner*in;2;Über 18;11 bis 18 Jahre;-;-;Amazon;Keine;4;3;1;4;3;2;3;4;3;2;4;Politik, die Familien nicht genug berücksichtigt;1 bis 2 Stunden;Organisation von Alltagsthemen;Nicht gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
52;f;21;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Muenchen;1;80636;DEU;Android;Mit Partner*in & Kind(ern);2;7 bis 10 Jahre;Unter 1 Jahr;-;-;h und m;born baby;5;5;5;5;5;5;5;5;6;5;5;Ich fühle mich nicht unter Druck gesetzt;5 bis 30 Minuten;Lesen;Gut;Ja;1;0;0;0;0;0;0;Deutschland;0;0;1;1;0;0;0;0;Haben eher keinen Einfluss;Ja;-;Pudding
53;f;56;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;<1000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Ottobeuren;0;87724;DEU;Android;Mit Partner*in;4;Über 18;Über 18;Über 18;Über 18;keine Ahnung;keine;6;3;6;3;3;6;6;6;5;5;6;Gesellschaft, die Familien nicht genug unterstützt;1 bis 2 Stunden;Am Handy;Sehr gut;Weiß nicht;-;-;-;-;-;-;-;Westeuropa (Belgien, Frankreich, Österreich etc.);1;0;0;0;0;0;0;0;Haben eher einen Einfluss;Ja;-;Pudding
54;f;33;2;Nordrhein-Westfalen;Sonstige;Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Abitur / Fachabitur;Duisburg;1;47226;DEU;iOS;Mit Partner*in & Kind(ern);2;4 bis 6 Jahre;1 bis 3 Jahre;-;-;lego;lego,puzzle,malbücher;6;5;4;5;2;4;5;6;6;6;5;Gesellschaft, die Familien nicht genug unterstützt;1 bis 2 Stunden;Fernsehen;Sehr gut;Nein;-;-;-;-;-;-;-;Asien;1;0;1;0;0;0;0;0;Haben einen Einfluss;Nein;-;Pudding
55;f;36;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbildung;Hauptschulabschluss;Greding;0;91171;DEU;Android;Mit Kind(ern);1;11 bis 18 Jahre;-;-;-;Adidas;Nintendo;4;5;5;5;5;5;4;5;4;5;5;Anforderungen von Schule / Kita;30 bis 60 Minuten;Sport;Nicht gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;1;0;0;0;0;Haben eher keinen Einfluss;Nein;-;Pudding
56;f;22;1;Niedersachsen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;Delmenhorst;0;27753;DEU;Android;Mit Partner*in & Kind(ern);1;1 bis 3 Jahre;-;-;-;Wildling;Haba;2;6;1;6;6;6;6;6;6;1;6;Erwartungen der eigenen Familie;30 bis 60 Minuten;Am Handy;Überhaupt nicht gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Das möchte ich nicht beantworten;Ja;-;Pudding
57;f;42;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Braunschweig;1;38102;DEU;Android;Mit Partner*in & Kind(ern);1;11 bis 18 Jahre;-;-;-;sony,netflix,Amazon;sony;4;4;2;5;2;2;5;3;2;5;3;Gesellschaft, die Familien nicht genug unterstützt;1 bis 2 Stunden;Am Handy;Gut;Nein;-;-;-;-;-;-;-;Westeuropa (Belgien, Frankreich, Österreich etc.);1;0;0;0;0;0;0;0;Haben keinen Einfluss;Ja;-;Pudding
58;m;22;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;>5000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Deggendorf;0;94469;DEU;Android;Bei meinen Eltern;1;1 bis 3 Jahre;-;-;-;Volkswagen,Milka;Hasbro;4;4;2;6;5;6;4;6;5;4;6;Politik, die Familien nicht genug berücksichtigt;5 bis 30 Minuten;Am Handy;Nicht gut;Nein;-;-;-;-;-;-;-;Osteuropa (Russland, Bulgarien etc.);0;0;1;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
59;m;32;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Winterlingen;0;72474;DEU;iOS;Mit Partner*in & Kind(ern);1;1 bis 3 Jahre;-;-;-;Haribo;bruder;5;3;4;4;1;5;5;4;5;2;5;Politik, die Familien nicht genug berücksichtigt;5 bis 30 Minuten;Am Handy;Gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);0;0;1;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
60;f;50;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Alzenau in Unterfranken;0;63755;DEU;iOS;Mit Kind(ern);2;11 bis 18 Jahre;11 bis 18 Jahre;-;-;rewe;haba;5;6;4;3;6;1;5;6;5;5;5;Vereinbarkeit Familie & Beruf;5 bis 30 Minuten;Sport;Gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben keinen Einfluss;Ja;-;Pudding
61;f;25;3a;Rheinland-Pfalz;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Daubach;0;56412;DEU;iOS;Mit Partner*in & Kind(ern);1;1 bis 3 Jahre;-;-;-;babydream;duplo;5;3;2;2;3;3;4;4;4;4;3;Politik, die Familien nicht genug berücksichtigt;5 bis 30 Minuten;Am Handy;Gut;Ja;0;0;0;1;0;0;0;Deutschland;1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
62;m;64;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Duisburg;1;47259;DEU;iOS;Mit Partner*in & Kind(ern);2;7 bis 10 Jahre;4 bis 6 Jahre;-;-;Adidas;Lego;6;3;6;6;2;3;5;5;2;3;5;Anforderungen von Schule / Kita;5 bis 30 Minuten;Sport;Nicht gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
63;f;59;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbildung;Hauptschulabschluss;Jesteburg;0;21266;DEU;Android;Mit Partner*in;1;Über 18;-;-;-;Iglo;lego;4;3;4;4;3;2;5;5;3;4;4;Ich fühle mich nicht unter Druck gesetzt;1 bis 2 Stunden;chillen;Gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);0;0;1;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
64;m;34;6;Mecklenburg-Vorpommern;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Neustadt-Glewe;0;19306;DEU;Android;Mit Partner*in;2;7 bis 10 Jahre;7 bis 10 Jahre;-;-;Keine;Keine;4;4;3;5;3;6;6;6;5;6;6;Gesundheit Beruf;30 bis 60 Minuten;Organisation von Alltagsthemen;Nicht gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben keinen Einfluss;Nein;-;Pudding
65;m;38;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;4000€ bis 5000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;Breckerfeld;0;58339;DEU;Android;Mit Partner*in & Kind(ern);2;11 bis 18 Jahre;7 bis 10 Jahre;-;-;Samsung;playstation;5;2;4;5;1;2;2;4;1;3;4;Politik, die Familien nicht genug berücksichtigt;1 bis 2 Stunden;Am Handy;Gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);1;0;0;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
66;f;56;2;Nordrhein-Westfalen;Sonstige;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Greven;0;48268;DEU;Android;Mit Partner*in;3;Über 18;Über 18;Über 18;-;keine;lego,pokemon;5;2;5;5;1;1;2;5;4;5;5;Gesellschaft, die Familien nicht genug unterstützt;1 bis 2 Stunden;Am Handy;Gut;Ja;1;0;0;0;1;0;0;Südeuropa (Italien, Portugal, Spanien etc.);0;0;1;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
